	headline	url	date
33	"
Θεσσαλονίκη: Υπό καταρρακτώδη βροχή ολοκληρώθηκαν οι απεργιακές κινητοποιήσεις
"	https://www.protothema.gr/greece/article/1132557/thessaloniki-upo-katarraktodi-vrohi-oloklirothikan-oi-apergiakes-kinitopoiiseis/	2021-06-10T14:15:00+03:00
34	"
Ο Τόμας Μαρκλ ξαναχτυπά: Απειλεί να βγάλει νέα «άπλυτα» της Μέγκαν στη φόρα
"	https://www.protothema.gr/life-style/article/1132549/o-tomas-markl-xanahtupa-apeilei-na-vgalei-nea-apluta-tis-megan-sti-fora/	2021-06-10T13:47:00+03:00
35	"
ΑΣΕΠ: Προκήρυξη  για προσλήψεις με σύμβαση ορισμένου χρόνου στη ΔΕΗ
"	https://www.protothema.gr/greece/article/1132534/asep-dei-proslipseis-orismenou-hronousoh-deite-tin-prokiruxi/	2021-06-10T13:12:00+03:00
36	"
Κοινωνικός Τουρισμός: Άνοιξε η πλατφόρμα για τα 300.000 voucher
"	https://www.protothema.gr/economy/article/1132491/koinonikos-tourismos-anoigei-to-mesimeri-i-platforma-gia-ta-300000-voucher/	2021-06-10T13:01:00+03:00
37	"
Περού: Ο Πέδρο Καστίγιο ανακηρύσσει τη νίκη του προτού ανακοινωθεί το αποτέλεσμα επίσημα
"	https://www.protothema.gr/world/article/1132442/perou-o-pedro-kastigio-anakirussei-ti-niki-tou-protou-anakoinothei-to-apotelesma-episima/	2021-06-10T05:58:00+03:00
38	"
Κολομβία: Χιλιάδες διαδηλωτές ξανά στους δρόμους για να απαιτήσουν το τέλος της αστυνομικής καταστολής και της φτώχειας
"	https://www.protothema.gr/world/article/1132440/kolomvia-hiliades-diadilotes-xana-stous-dromous-gia-na-apaitisoun-to-telos-tis-astunomikis-katastolis-kai-tis-ftoheias/	2021-06-10T05:17:00+03:00
39	"
 Samos Young Artists Festival: Επιστρέφει με πλούσιο πρόγραμμα και ταλαντούχους μουσικούς
"	https://www.protothema.gr/culture/article/1132373/samos-young-artists-festival-epistrefei-me-plousio-programma-kai-taladouhous-mousikous/	2021-06-10T04:46:00+03:00
40	"
 Samos Young Artists Festival: Επιστρέφει με πλούσιο πρόγραμμα και ταλαντούχους μουσικούς
"	https://www.protothema.gr/culture/article/1132373/samos-young-artists-festival-epistrefei-me-plousio-programma-kai-taladouhous-mousikous/	2021-06-10T04:46:00+03:00
41	"
Ελεωνόρα Ζουγανέλη: Αυτοί είναι οι σταθμοί της καλοκαιρινής της περιοδείας
"	https://www.protothema.gr/culture/article/1132366/eleonora-zouganeli-autoi-einai-oi-stathmoi-tis-kalokairinis-tis-periodeias/	2021-06-10T03:46:00+03:00
42	"
Κοινωνικός Τουρισμός: Ξεκινά από αύριο η ηλεκτρονική υποβολή αιτήσεων - Τι ισχύει για τους δικαιούχους
"	https://www.protothema.gr/greece/article/1132336/koinonikos-tourismos-xekina-apo-aurio-i-ilektroniki-upovoli-aitiseon-ti-ishuei-gia-tous-dikaiouhous/	2021-06-09T17:59:00+03:00
